Fp1,Fp2,C3,C4,P7,P8,O1,O2,marker
19603.284550104687,15188.300930059067,-134144.24021771434,-187500.02235174447,-159194.53313285508,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19577.96002363682,15192.614816738942,-134238.78809676028,-187500.02235174447,-159278.62039549596,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19564.839549641558,15182.109496844949,-134263.6879400835,-187500.02235174447,-159294.87011371495,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19599.283587847185,15185.842238168985,-134230.40619258955,-187500.02235174447,-159262.54949123258,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19612.31465486463,15191.296063816078,-134304.72574290345,-187500.02235174447,-159333.1586519669,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19587.727735963792,15186.892770158383,-134343.6177782557,-187500.02235174447,-159363.5123209372,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19571.16509332241,15186.736307947196,-134377.99476122795,-187500.02235174447,-159396.03410911968,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19594.992052911766,15190.133773104404,-134433.71766015503,-187500.02235174447,-159446.66081031095,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19628.273800405717,15191.00549113816,-134402.7157905955,-187500.02235174447,-159413.80374596166,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19612.225247886807,15192.167781849836,-134485.77487299143,-187500.02235174447,-159498.74037489182,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19578.474113759294,15183.517656745633,-134535.5075044045,-187500.02235174447,-159545.32141033668,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19599.01536691372,15173.347613018468,-134516.86614952877,-187500.02235174447,-159522.45557575888,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19622.9317334809,15198.359215063956,-134549.4549929446,-187500.02235174447,-159552.0045819288,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19610.973550197312,15196.414613296345,-134591.74449345405,-187500.02235174447,-159583.5205416108,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19580.284605060173,15186.356328291457,-134604.68615349368,-187500.02235174447,-159591.45541089243,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19594.746183722757,15188.591502736987,-134674.84827933888,-187500.02235174447,-159662.24338558238,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19623.40112011446,15198.470973786232,-134722.43514328424,-187500.02235174447,-159699.436688356,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19610.54886705266,15192.77127895013,-134738.72956499216,-187500.02235174447,-159706.11985994814,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19582.34096555006,15184.322319546023,-134781.60021085743,-187500.02235174447,-159750.46572094748,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19599.864733203023,15180.701336944263,-134843.581598232,-187500.02235174447,-159810.48015480998,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19622.663512547435,15190.111421359949,-134859.831316451,-187500.02235174447,-159815.88927696817,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19601.317596592617,15199.72267147573,-134882.25011613968,-187500.02235174447,-159833.34598938777,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19576.909491647424,15196.638130740897,-134971.4112247719,-187500.02235174447,-159919.6460747297,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19575.903663146935,15189.865552170939,-134958.82719264357,-187500.02235174447,-159905.27390304493,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19607.486678062283,15190.871380671428,-134983.95055341133,-187500.02235174447,-159933.97354292555,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19611.241771130775,15194.760584206651,-135026.5753300876,-187500.02235174447,-159971.92680501068,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19583.905587661935,15187.697432958776,-135047.49656289775,-187500.02235174447,-159986.43308716215,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19568.59464271005,15170.106610072447,-135093.4964529868,-187500.02235174447,-160037.19389882017,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19593.673299988903,15187.630377725409,-135133.77429649525,-187500.02235174447,-160071.10149515886,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19613.45459383185,15201.91314243235,-135126.64409001402,-187500.02235174447,-160051.94605016065,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19585.44785802935,15193.441831283788,-135183.97631454185,-187500.02235174447,-160111.17817296722,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19564.30310777463,15184.344671290479,-135271.17046966203,-187500.02235174447,-160195.7124704972,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19589.761744709223,15190.826677182518,-135292.35992340566,-187500.02235174447,-160208.40826134782,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19618.774309012213,15225.20366015478,-135298.3278391752,-187500.02235174447,-160215.42670910677,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19595.103811634042,15207.67989250182,-135368.73583420942,-187500.02235174447,-160287.51108497515,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19566.24770954224,15172.654708940354,-135412.32173589728,-187500.02235174447,-160322.5362685366,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19584.665546973414,15179.539046232589,-135400.22944214696,-187500.02235174447,-160302.30793980457,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19619.31075087914,15200.884962187405,-135438.58503563228,-187500.02235174447,-160341.89287923492,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19597.003709912744,15190.513752760144,-135508.5459957774,-187500.02235174447,-160406.89175211094,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19560.659773428415,15183.271787556623,-135531.50123733297,-187500.02235174447,-160424.14729883044,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19584.889064417966,15181.684813700298,-135540.28547290392,-187500.02235174447,-160437.29012457017,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19619.06488169013,15187.317453303034,-135610.06761909337,-187500.02235174447,-160506.06644225915,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19605.631483272493,15210.049177414081,-135645.83041022188,-187500.02235174447,-160531.56978268264,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19577.378878280982,15207.232857612713,-135671.93724774566,-187500.02235174447,-160553.94387888242,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19560.816235639602,15193.441831283788,-135727.07900131692,-187500.02235174447,-160613.913609256,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19597.808372713134,15195.297026073578,-135761.545391267,-187500.02235174447,-160643.909650315,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19602.0775559041,15202.404880810367,-135761.7465569671,-187500.02235174447,-160640.13220550207,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19565.24188104175,15197.53220051911,-135823.21385421918,-187500.02235174447,-160698.8278864417,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19560.324497261583,15192.704223716764,-135834.05445028,-187500.02235174447,-160701.1301161206,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19599.21653261382,15211.949075692783,-135826.49956065413,-187500.02235174447,-160693.48581951688,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19609.855962974547,15219.280447874124,-135893.28657308657,-187500.02235174447,-160757.30004993678,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19570.516892733205,15187.473915514222,-135928.42351537032,-187500.02235174447,-160788.5924921742,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19553.440159969352,15177.86266539844,-135974.75868162618,-187500.02235174447,-160838.43688230956,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19588.912378419922,15193.240665583691,-136032.29207185414,-187500.02235174447,-160890.29292944586,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19609.811259485636,15211.68085475932,-136031.9567956873,-187500.02235174447,-160881.64280434165,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19581.29043356066,15197.085165630004,-136063.5621623471,-187500.02235174447,-160916.55622918086,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19559.363372250005,15192.86068592795,-136148.43173604392,-187500.02235174447,-161001.87283776677,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19585.872541174,15204.997683167183,-136148.92347442193,-187500.02235174447,-160993.71445104058,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19605.251503616753,15199.700319731275,-136134.66306145943,-187500.02235174447,-160977.97882294405,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19585.179637095887,15187.406860280857,-136192.01763773177,-187500.02235174447,-161039.49082368505,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19552.434331468863,15185.350499790968,-136258.33526353067,-187500.02235174447,-161101.60632152634,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19572.997936367745,15201.555514521066,-136244.34307150164,-187500.02235174447,-161083.05437362843,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19608.78307924069,15223.929610720828,-136268.50530725782,-187500.02235174447,-161107.73069950708,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19604.13391639399,15187.42921202531,-136352.14553500956,-187500.02235174447,-161185.80534288948,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19546.57817442157,15173.772296163119,-136407.13082636963,-187500.02235174447,-161234.19686963523,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19553.507215202717,15192.346595805479,-136376.97832309944,-187500.02235174447,-161203.61968322037,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19591.818105199112,15202.538991277099,-136448.77212628987,-187500.02235174447,-161274.38530616587,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19590.320538320608,15201.555514521066,-136496.0684175573,-187500.02235174447,-161315.35605375245,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19557.61993618249,15190.647863226875,-136476.93532430354,-187500.02235174447,-161290.45621042923,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19560.90564261742,15191.00549113816,-136529.50662726242,-187500.02235174447,-161343.5863069995,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19587.817142941614,15197.263979585647,-136528.74666795097,-187500.02235174447,-161337.3725220409,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19603.597474527058,15209.557439036065,-136596.91948853966,-187500.02235174447,-161404.338348429,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19566.73944792026,15198.068642386037,-136635.47624772505,-187500.02235174447,-161439.31882850156,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19557.217604782298,15194.134735361904,-136640.77361116096,-187500.02235174447,-161443.81152913708,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19590.767573209712,15204.01420641115,-136658.67735846966,-187500.02235174447,-161454.58506996455,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19601.876390204,15204.684758744808,-136671.507259787,-187500.02235174447,-161465.358610792,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19571.9697561228,15209.780956480618,-136781.94722914067,-187500.02235174447,-161577.60907144655,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19552.210814024307,15190.401994037868,-136840.03941298003,-187500.02235174447,-161630.02391219424,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19573.26615730121,15183.495305001177,-136847.57195086146,-187500.02235174447,-161630.6050575501,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19594.813238956125,15205.601180267477,-136826.0025174621,-187500.02235174447,-161608.61094100607,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19567.141779320453,15203.902447688872,-136869.297846472,-187500.02235174447,-161648.84408102563,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19546.86874709949,15200.4379272983,-136919.92454766328,-187500.02235174447,-161690.97711932388,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19572.64030845646,15193.397127794879,-136905.73118993416,-187500.02235174447,-161678.34838370662,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19609.587742041083,15199.476802286721,-136934.85551295945,-187500.02235174447,-161709.3726050106,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19579.748163193246,15186.892770158383,-137011.47729295222,-187500.02235174447,-161778.0371639773,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19531.71426435879,15190.491401015688,-137048.60354049248,-187500.02235174447,-161810.60365564868,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19560.659773428415,15195.140563862393,-137023.86015938048,-187500.02235174447,-161789.57066411624,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19588.48769527527,15211.926723948327,-137081.43825309732,-187500.02235174447,-161850.4568160125,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19574.58491022407,15204.930627933816,-137137.20585551334,-187500.02235174447,-161900.07768870328,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19546.801691866123,15197.19692435228,-137170.86758266302,-187500.02235174447,-161927.25740996093,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19559.25161352773,15200.683796487308,-137189.12895788302,-187500.02235174447,-161945.78700611438,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19578.45176201484,15200.259113342658,-137229.11622871354,-187500.02235174447,-161982.6897362101,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19580.26225331572,15209.557439036065,-137261.41449945146,-187500.02235174447,-162015.9938354485,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19549.796825623136,15193.240665583691,-137328.82736072867,-187500.02235174447,-162084.18900778165,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19549.573308178584,15197.599255752475,-137310.25306108632,-187500.02235174447,-162060.58556563684,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19587.548922008147,15197.040462141093,-137307.6602587295,-187500.02235174447,-162060.89849005922,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19586.364279552017,15194.067680128537,-137409.11482681215,-187500.02235174447,-162162.6212790753,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19553.82013962509,15194.201790595269,-137457.01461517985,-187500.02235174447,-162202.85441909486,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19545.617049409993,15191.161953349347,-137441.1895801055,-187500.02235174447,-162185.59887237535,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19576.97654688079,15198.918008675339,-137461.52966755984,-187500.02235174447,-162211.01280582105,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19591.035794143176,15199.29798833108,-137475.16423167757,-187500.02235174447,-162219.50646871407,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19566.180654308875,15196.727537718718,-137486.4071591386,-187500.02235174447,-162233.36455027637,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19542.711322630803,15195.609950495953,-137571.99198865797,-187500.02235174447,-162320.93868505224,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19569.667526443904,15198.649787741875,-137610.36993388773,-187500.02235174447,-162353.39341800136,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19594.768535467214,15199.409747053356,-137618.39421014718,-187500.02235174447,-162359.18251981528,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19579.63640447097,15198.918008675339,-137693.11609186127,-187500.02235174447,-162433.345607918,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19542.82308135308,15197.509848774655,-137686.3882167802,-187500.02235174447,-162424.02493048014,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19559.63159318347,15197.308683074556,-137656.50393444346,-187500.02235174447,-162396.66639526683,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19592.15338136594,15192.10072661647,-137709.1646443802,-187500.02235174447,-162449.01418078115,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19578.988203881767,15195.811116196051,-137785.2276307616,-187500.02235174447,-162520.58446652704,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19558.73752340526,15189.53027600411,-137834.96026217466,-187500.02235174447,-162565.24325194876,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19558.424598982885,15182.265959056134,-137865.80566952296,-187500.02235174447,-162596.40158371945,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19580.23990157126,15197.800421452574,-137893.41007392528,-187500.02235174447,-162621.77081367624,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19571.500369489237,15201.711976732253,-137864.95630323366,-187500.02235174447,-162589.65135689394,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19547.449892455326,15201.667273243342,-137889.27500120105,-187500.02235174447,-162620.67557819793,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19547.852223855523,15192.883037672405,-137954.2068188437,-187500.02235174447,-162684.06512547316,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19572.21562531181,15185.57401723552,-137953.24569383214,-187500.02235174447,-162674.9009102465,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19580.86575041601,15192.525409761121,-137940.86282740388,-187500.02235174447,-162664.46264558585,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19549.841529112047,15186.71395620274,-138012.70133408325,-187500.02235174447,-162739.09512032213,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19539.045636540133,15191.43017428281,-138082.72934946173,-187500.02235174447,-162803.87047575362,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19569.913395632913,15194.157087106358,-138076.9402476478,-187500.02235174447,-162796.2261791499,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19577.915320147913,15198.359215063956,-138130.87500701845,-187500.02235174447,-162847.72459837492,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19545.05825579861,15190.96078764925,-138196.54443222814,-187500.02235174447,-162907.2472938594,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19528.562668390594,15184.098802101471,-138211.36363880202,-187500.02235174447,-162919.07136667627,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
